Date,pm25,pm10,no2,co,o3,so2
2025-04-01,104,56,8,0,0,0
2025-04-02,140,46,8,0,0,0
2025-04-03,121,43,5,0,0,0
2025-04-04,116,41,6,0,0,0
2025-04-05,109,57,5,0,0,0
2025-04-06,140,54,5,0,0,0
2025-04-07,134,55,4,0,0,0
2025-04-08,138,42,4,0,0,0
2025-04-09,111,41,4,0,0,0
2025-04-10,111,43,4,0,0,0
2025-04-11,112,43,4,0,0,0
2025-04-12,111,48,4,0,0,0
2025-04-13,93,59,9,0,0,0
2025-04-14,126,60,11,0,0,0
2025-04-15,132,56,8,0,0,0
2025-04-16,123,37,3,0,0,0
2025-04-17,99,0,0,0,0,0
2025-01-07,171,65,9,0,0,0
2025-01-08,153,62,6,0,0,0
2025-01-09,153,28,3,0,0,0
2025-01-10,80,35,5,0,0,0
2025-01-11,95,51,8,0,0,0
2025-01-12,136,79,10,0,0,0
2025-01-13,175,67,11,0,0,0
2025-01-14,153,57,10,0,0,0
2025-01-15,144,63,9,0,0,0
2025-01-16,151,73,7,0,0,0
2025-01-17,167,76,9,0,0,0
2025-01-18,171,79,10,0,0,0
2025-01-19,186,96,11,0,0,0
2025-01-20,200,82,8,0,0,0
2025-01-21,176,68,9,0,0,0
2025-01-22,161,50,9,0,0,0
2025-01-23,128,48,6,0,0,0
2025-01-24,124,33,4,0,0,0
2025-01-25,93,20,3,0,0,0
2025-01-26,56,41,4,0,0,0
2025-01-27,99,43,2,0,0,0
2025-01-28,105,51,3,0,0,0
2025-01-29,130,47,3,0,0,0
2025-01-30,120,30,2,0,0,0
2025-01-31,86,26,2,0,0,0
2025-02-01,77,21,2,0,0,0
2025-02-02,63,13,1,0,0,0
2025-02-03,42,23,2,0,0,0
2025-02-04,70,46,6,0,0,0
2025-02-05,122,36,2,0,0,0
2025-02-06,96,6,1,0,0,0
2025-02-07,19,16,1,0,0,0
2025-02-08,47,36,2,0,0,0
2025-02-09,99,66,7,0,0,0
2025-02-10,160,65,6,0,0,0
2025-02-11,156,69,6,0,0,0
2025-02-12,158,52,6,0,0,0
2025-02-13,130,49,7,0,0,0
2025-02-14,126,48,4,0,0,0
2025-02-15,122,16,3,0,0,0
2025-02-16,48,29,4,0,0,0
2025-02-17,82,19,3,0,0,0
2025-02-18,59,29,3,0,0,0
2025-02-19,83,58,8,0,0,0
2025-02-20,140,40,7,0,0,0
2025-02-21,107,42,7,0,0,0
2025-02-22,111,19,4,0,0,0
2025-02-23,52,13,3,0,0,0
2025-02-24,44,28,4,0,0,0
2025-02-25,81,26,4,0,0,0
2025-02-26,75,61,7,0,0,0
2025-02-27,149,49,6,0,0,0
2025-02-28,127,40,4,0,0,0
2025-03-01,107,26,3,0,0,0
2025-03-02,77,32,4,0,0,0
2025-03-03,91,37,3,0,0,0
2025-03-04,101,38,3,0,0,0
2025-03-05,103,21,3,0,0,0
2025-03-06,60,22,3,0,0,0
2025-03-07,67,36,3,0,0,0
2025-03-08,104,59,6,0,0,0
2025-03-09,146,69,8,0,0,0
2025-03-10,160,51,5,0,0,0
2025-03-11,131,30,4,0,0,0
2025-03-12,85,27,4,0,0,0
2025-03-13,79,32,4,0,0,0
2025-03-14,92,28,3,0,0,0
2025-03-15,81,17,2,0,0,0
2025-03-16,49,33,5,0,0,0
2025-03-17,92,32,4,0,0,0
2025-03-18,93,25,5,0,0,0
2025-03-19,73,41,8,0,0,0
2025-03-20,106,68,10,0,0,0
2025-03-21,157,62,8,0,0,0
2025-03-22,149,55,5,0,0,0
2025-03-23,141,63,7,0,0,0
2025-03-24,152,54,7,0,0,0
2025-03-25,133,41,4,0,0,0
2025-03-26,111,37,4,0,0,0
2025-03-27,101,41,5,0,0,0
