Date,Time,Weather,Temp,Rain,Cloud,Pressure,Wind,Gust
1/1/2010,0:00,Patchy rain possible,18 °c,"0.2
mm",100%,1015 mb,3 km/h,5 km/h
1/1/2010,3:00,Patchy rain possible,17 °c,"0.3
mm",100%,1014 mb,5 km/h,7 km/h
1/1/2010,6:00,Patchy rain possible,17 °c,"0.2
mm",100%,1015 mb,6 km/h,8 km/h
1/1/2010,9:00,Overcast,17 °c,"0.0
mm",100%,1017 mb,6 km/h,12 km/h
1/1/2010,12:00,Overcast,17 °c,"0.0
mm",99%,1015 mb,6 km/h,12 km/h
1/1/2010,15:00,Patchy rain possible,18 °c,"0.1
mm",99%,1014 mb,6 km/h,8 km/h
1/1/2010,18:00,Overcast,17 °c,"0.0
mm",99%,1015 mb,3 km/h,4 km/h
1/1/2010,21:00,Overcast,17 °c,"0.0
mm",100%,1015 mb,4 km/h,10 km/h
1/2/2010,0:00,Patchy rain possible,17 °c,"0.3
mm",100%,1016 mb,6 km/h,10 km/h
1/2/2010,3:00,Overcast,17 °c,"0.0
mm",100%,1014 mb,5 km/h,7 km/h
1/2/2010,6:00,Patchy rain possible,17 °c,"0.1
mm",100%,1015 mb,6 km/h,9 km/h
1/2/2010,9:00,Patchy rain possible,17 °c,"0.3
mm",100%,1018 mb,8 km/h,15 km/h
1/2/2010,12:00,Overcast,18 °c,"0.0
mm",94%,1016 mb,6 km/h,15 km/h
1/2/2010,15:00,Overcast,19 °c,"0.0
mm",87%,1014 mb,5 km/h,13 km/h
1/2/2010,18:00,Cloudy,18 °c,"0.0
mm",78%,1015 mb,5 km/h,11 km/h
1/2/2010,21:00,Overcast,18 °c,"0.0
mm",97%,1018 mb,2 km/h,3 km/h
1/3/2010,0:00,Overcast,17 °c,"0.0
mm",96%,1018 mb,4 km/h,7 km/h
1/3/2010,3:00,Overcast,17 °c,"0.0
mm",89%,1017 mb,4 km/h,6 km/h
1/3/2010,6:00,Overcast,17 °c,"0.0
mm",86%,1018 mb,6 km/h,9 km/h
1/3/2010,9:00,Overcast,18 °c,"0.0
mm",90%,1018 mb,3 km/h,9 km/h
1/3/2010,12:00,Cloudy,19 °c,"0.0
mm",80%,1016 mb,3 km/h,8 km/h
1/3/2010,15:00,Cloudy,20 °c,"0.0
mm",70%,1014 mb,3 km/h,3 km/h
1/3/2010,18:00,Partly cloudy,18 °c,"0.0
mm",50%,1014 mb,6 km/h,10 km/h
1/3/2010,21:00,Partly cloudy,18 °c,"0.0
mm",51%,1015 mb,4 km/h,6 km/h
1/4/2010,0:00,Overcast,17 °c,"0.0
mm",100%,1013 mb,5 km/h,8 km/h
1/4/2010,3:00,Overcast,18 °c,"0.0
mm",100%,1012 mb,6 km/h,13 km/h
1/4/2010,6:00,Overcast,18 °c,"0.0
mm",98%,1013 mb,7 km/h,11 km/h
1/4/2010,9:00,Cloudy,21 °c,"0.0
mm",84%,1013 mb,6 km/h,13 km/h
1/4/2010,12:00,Cloudy,23 °c,"0.0
mm",76%,1011 mb,8 km/h,16 km/h
1/4/2010,15:00,Cloudy,25 °c,"0.0
mm",68%,1008 mb,10 km/h,14 km/h
1/4/2010,18:00,Partly cloudy,21 °c,"0.0
mm",34%,1009 mb,10 km/h,17 km/h
1/4/2010,21:00,Overcast,19 °c,"0.0
mm",100%,1010 mb,7 km/h,16 km/h
1/5/2010,0:00,Overcast,19 °c,"0.0
mm",100%,1009 mb,8 km/h,14 km/h
1/5/2010,3:00,Overcast,19 °c,"0.0
mm",100%,1010 mb,5 km/h,10 km/h
1/5/2010,6:00,Overcast,19 °c,"0.0
mm",100%,1011 mb,2 km/h,8 km/h
1/5/2010,9:00,Sunny,23 °c,"0.0
mm",19%,1012 mb,7 km/h,12 km/h
1/5/2010,12:00,Sunny,27 °c,"0.0
mm",18%,1010 mb,8 km/h,16 km/h
1/5/2010,15:00,Sunny,29 °c,"0.0
mm",17%,1008 mb,10 km/h,14 km/h
1/5/2010,18:00,Clear,24 °c,"0.0
mm",9%,1009 mb,7 km/h,11 km/h
1/5/2010,21:00,Overcast,21 °c,"0.0
mm",100%,1011 mb,5 km/h,10 km/h
1/6/2010,0:00,Overcast,20 °c,"0.0
mm",100%,1013 mb,6 km/h,12 km/h
1/6/2010,3:00,Patchy rain possible,20 °c,"0.3
mm",96%,1014 mb,9 km/h,16 km/h
1/6/2010,6:00,Overcast,16 °c,"0.0
mm",96%,1016 mb,11 km/h,34 km/h
1/6/2010,9:00,Patchy rain possible,17 °c,"0.2
mm",100%,1018 mb,12 km/h,16 km/h
1/6/2010,12:00,Overcast,18 °c,"0.0
mm",98%,1017 mb,9 km/h,16 km/h
1/6/2010,15:00,Overcast,18 °c,"0.0
mm",95%,1016 mb,6 km/h,14 km/h
1/6/2010,18:00,Overcast,17 °c,"0.0
mm",97%,1017 mb,6 km/h,9 km/h
1/6/2010,21:00,Overcast,17 °c,"0.0
mm",100%,1019 mb,2 km/h,8 km/h
1/7/2010,0:00,Overcast,17 °c,"0.0
mm",100%,1018 mb,4 km/h,6 km/h
1/7/2010,3:00,Overcast,16 °c,"0.0
mm",100%,1018 mb,5 km/h,8 km/h
1/7/2010,6:00,Patchy rain possible,16 °c,"0.1
mm",100%,1019 mb,9 km/h,12 km/h
1/7/2010,9:00,Patchy rain possible,16 °c,"0.2
mm",100%,1020 mb,7 km/h,9 km/h
1/7/2010,12:00,Patchy rain possible,16 °c,"0.1
mm",100%,1020 mb,7 km/h,15 km/h
1/7/2010,15:00,Overcast,15 °c,"0.0
mm",100%,1019 mb,6 km/h,13 km/h
1/7/2010,18:00,Patchy rain possible,15 °c,"0.3
mm",100%,1020 mb,11 km/h,16 km/h
1/7/2010,21:00,Patchy rain possible,15 °c,"0.3
mm",100%,1021 mb,8 km/h,11 km/h
1/8/2010,0:00,Patchy rain possible,14 °c,"0.2
mm",100%,1021 mb,6 km/h,9 km/h
1/8/2010,3:00,Overcast,13 °c,"0.0
mm",100%,1021 mb,7 km/h,10 km/h
1/8/2010,6:00,Overcast,13 °c,"0.0
mm",88%,1022 mb,11 km/h,17 km/h
1/8/2010,9:00,Partly cloudy,16 °c,"0.0
mm",36%,1022 mb,3 km/h,8 km/h
1/8/2010,12:00,Partly cloudy,17 °c,"0.0
mm",34%,1020 mb,5 km/h,12 km/h
1/8/2010,15:00,Partly cloudy,19 °c,"0.0
mm",33%,1016 mb,8 km/h,9 km/h
1/8/2010,18:00,Partly cloudy,16 °c,"0.0
mm",34%,1017 mb,9 km/h,16 km/h
1/8/2010,21:00,Clear,15 °c,"0.0
mm",22%,1017 mb,6 km/h,10 km/h
1/9/2010,0:00,Partly cloudy,14 °c,"0.0
mm",50%,1016 mb,6 km/h,11 km/h
1/9/2010,3:00,Overcast,14 °c,"0.0
mm",100%,1016 mb,3 km/h,9 km/h
1/9/2010,6:00,Overcast,14 °c,"0.0
mm",99%,1016 mb,4 km/h,5 km/h
1/9/2010,9:00,Cloudy,18 °c,"0.0
mm",65%,1016 mb,8 km/h,9 km/h
1/9/2010,12:00,Partly cloudy,22 °c,"0.0
mm",51%,1014 mb,10 km/h,18 km/h
1/9/2010,15:00,Partly cloudy,24 °c,"0.0
mm",38%,1012 mb,12 km/h,16 km/h
1/9/2010,18:00,Partly cloudy,20 °c,"0.0
mm",33%,1012 mb,8 km/h,16 km/h
1/9/2010,21:00,Overcast,18 °c,"0.0
mm",100%,1012 mb,8 km/h,14 km/h
1/10/2010,0:00,Overcast,17 °c,"0.0
mm",100%,1013 mb,4 km/h,8 km/h
1/10/2010,3:00,Patchy rain possible,17 °c,"0.1
mm",100%,1012 mb,1 km/h,3 km/h
1/10/2010,6:00,Overcast,17 °c,"0.0
mm",100%,1014 mb,3 km/h,5 km/h
1/10/2010,9:00,Sunny,21 °c,"0.0
mm",21%,1014 mb,4 km/h,11 km/h
1/10/2010,12:00,Sunny,23 °c,"0.0
mm",13%,1013 mb,9 km/h,17 km/h
1/10/2010,15:00,Sunny,24 °c,"0.0
mm",6%,1012 mb,14 km/h,18 km/h
1/10/2010,18:00,Partly cloudy,19 °c,"0.0
mm",54%,1014 mb,13 km/h,29 km/h
1/10/2010,21:00,Overcast,17 °c,"0.0
mm",95%,1016 mb,9 km/h,19 km/h
1/11/2010,0:00,Overcast,16 °c,"0.0
mm",97%,1017 mb,9 km/h,13 km/h
1/11/2010,3:00,Patchy rain possible,16 °c,"0.1
mm",100%,1018 mb,10 km/h,13 km/h
1/11/2010,6:00,Patchy rain possible,14 °c,"0.1
mm",100%,1019 mb,13 km/h,19 km/h
1/11/2010,9:00,Patchy rain possible,15 °c,"0.2
mm",100%,1020 mb,8 km/h,15 km/h
1/11/2010,12:00,Overcast,14 °c,"0.0
mm",100%,1020 mb,8 km/h,23 km/h
1/11/2010,15:00,Overcast,14 °c,"0.0
mm",100%,1019 mb,8 km/h,24 km/h
1/11/2010,18:00,Overcast,13 °c,"0.0
mm",100%,1020 mb,12 km/h,18 km/h
1/11/2010,21:00,Overcast,13 °c,"0.0
mm",100%,1021 mb,7 km/h,16 km/h
1/12/2010,0:00,Overcast,13 °c,"0.0
mm",100%,1023 mb,11 km/h,16 km/h
1/12/2010,3:00,Overcast,12 °c,"0.0
mm",100%,1024 mb,9 km/h,18 km/h
1/12/2010,6:00,Overcast,11 °c,"0.0
mm",100%,1026 mb,11 km/h,17 km/h
1/12/2010,9:00,Overcast,11 °c,"0.0
mm",85%,1028 mb,9 km/h,19 km/h
1/12/2010,12:00,Cloudy,11 °c,"0.0
mm",71%,1025 mb,7 km/h,23 km/h
1/12/2010,15:00,Partly cloudy,12 °c,"0.0
mm",56%,1023 mb,5 km/h,19 km/h
1/12/2010,18:00,Partly cloudy,12 °c,"0.0
mm",50%,1024 mb,3 km/h,9 km/h
1/12/2010,21:00,Partly cloudy,12 °c,"0.0
mm",45%,1025 mb,3 km/h,5 km/h
1/13/2010,0:00,Partly cloudy,12 °c,"0.0
mm",40%,1025 mb,1 km/h,2 km/h
1/13/2010,3:00,Partly cloudy,12 °c,"0.0
mm",51%,1024 mb,4 km/h,5 km/h
1/13/2010,6:00,Cloudy,11 °c,"0.0
mm",79%,1026 mb,8 km/h,11 km/h
1/13/2010,9:00,Cloudy,11 °c,"0.0
mm",71%,1028 mb,6 km/h,12 km/h
1/13/2010,12:00,Cloudy,12 °c,"0.0
mm",63%,1026 mb,7 km/h,15 km/h
1/13/2010,15:00,Partly cloudy,13 °c,"0.0
mm",55%,1025 mb,8 km/h,16 km/h
1/13/2010,18:00,Cloudy,13 °c,"0.0
mm",71%,1026 mb,1 km/h,6 km/h
1/13/2010,21:00,Partly cloudy,12 °c,"0.0
mm",37%,1027 mb,5 km/h,8 km/h
1/14/2010,0:00,Partly cloudy,11 °c,"0.0
mm",44%,1027 mb,4 km/h,6 km/h
1/14/2010,3:00,Partly cloudy,10 °c,"0.0
mm",45%,1026 mb,6 km/h,10 km/h
1/14/2010,6:00,Cloudy,10 °c,"0.0
mm",78%,1027 mb,5 km/h,8 km/h
1/14/2010,9:00,Partly cloudy,12 °c,"0.0
mm",38%,1027 mb,3 km/h,9 km/h
1/14/2010,12:00,Partly cloudy,15 °c,"0.0
mm",28%,1025 mb,3 km/h,9 km/h
1/14/2010,15:00,Sunny,17 °c,"0.0
mm",19%,1021 mb,2 km/h,8 km/h
1/14/2010,18:00,Partly cloudy,14 °c,"0.0
mm",33%,1022 mb,3 km/h,5 km/h
1/14/2010,21:00,Partly cloudy,14 °c,"0.0
mm",57%,1023 mb,1 km/h,1 km/h
1/15/2010,0:00,Partly cloudy,13 °c,"0.0
mm",57%,1021 mb,2 km/h,4 km/h
1/15/2010,3:00,Cloudy,13 °c,"0.0
mm",70%,1021 mb,3 km/h,6 km/h
1/15/2010,6:00,Cloudy,12 °c,"0.0
mm",68%,1022 mb,4 km/h,7 km/h
1/15/2010,9:00,Partly cloudy,17 °c,"0.0
mm",49%,1024 mb,5 km/h,10 km/h
1/15/2010,12:00,Partly cloudy,20 °c,"0.0
mm",45%,1022 mb,6 km/h,11 km/h
1/15/2010,15:00,Partly cloudy,22 °c,"0.0
mm",42%,1021 mb,7 km/h,13 km/h
1/15/2010,18:00,Partly cloudy,17 °c,"0.0
mm",49%,1022 mb,6 km/h,11 km/h
1/15/2010,21:00,Overcast,17 °c,"0.0
mm",100%,1025 mb,9 km/h,14 km/h
1/16/2010,0:00,Patchy rain possible,16 °c,"0.2
mm",100%,1025 mb,8 km/h,19 km/h
1/16/2010,3:00,Patchy rain possible,15 °c,"0.1
mm",100%,1025 mb,10 km/h,14 km/h
1/16/2010,6:00,Overcast,15 °c,"0.0
mm",100%,1026 mb,13 km/h,21 km/h
1/16/2010,9:00,Overcast,15 °c,"0.0
mm",100%,1027 mb,6 km/h,9 km/h
1/16/2010,12:00,Cloudy,16 °c,"0.0
mm",70%,1025 mb,5 km/h,18 km/h
1/16/2010,15:00,Partly cloudy,18 °c,"0.0
mm",40%,1024 mb,3 km/h,10 km/h
1/16/2010,18:00,Partly cloudy,16 °c,"0.0
mm",53%,1025 mb,1 km/h,3 km/h
1/16/2010,21:00,Partly cloudy,16 °c,"0.0
mm",47%,1026 mb,3 km/h,6 km/h
1/17/2010,0:00,Partly cloudy,14 °c,"0.0
mm",35%,1026 mb,1 km/h,3 km/h
1/17/2010,3:00,Partly cloudy,14 °c,"0.0
mm",38%,1025 mb,5 km/h,8 km/h
1/17/2010,6:00,Cloudy,14 °c,"0.0
mm",69%,1026 mb,3 km/h,5 km/h
1/17/2010,9:00,Partly cloudy,18 °c,"0.0
mm",59%,1027 mb,4 km/h,10 km/h
