Date,co,no2,o3,pm10,pm25,so2,Temp,Rain,Cloud,Pressure,Wind,Gust
2015-01-01,28.0,40.0,22.0,124.0,194.67,6.0,17.5,0.0,0.0,1023.5,7.12,12.62
2015-01-02,43.0,39.0,69.0,144.0,186.0,8.0,17.38,0.0,5.88,1022.38,6.25,9.12
2015-01-03,28.0,25.0,24.0,151.0,227.0,12.0,17.0,0.0,41.25,1019.5,5.75,8.5
2015-01-04,15.07,18.24,10.07,91.05,253.0,12.76,19.62,0.01,62.38,1013.5,7.62,13.75
2015-01-05,33.0,35.0,65.0,115.0,160.29,5.0,21.88,0.0,64.0,1010.62,6.75,10.12
2015-01-06,27.0,30.0,46.0,85.0,188.0,3.0,22.0,0.24,74.88,1013.0,7.0,10.75
2015-01-07,27.0,28.0,20.0,80.0,167.0,10.0,17.5,0.22,95.25,1018.62,9.5,17.62
2015-01-08,22.0,23.0,29.0,75.0,163.0,7.0,15.12,0.21,97.88,1023.75,6.62,11.5
2015-01-09,32.0,32.0,21.0,103.0,165.0,12.0,14.12,0.06,93.88,1024.25,8.62,14.12
2015-01-10,25.0,20.0,17.0,115.0,189.0,6.0,12.0,0.95,99.12,1024.25,10.75,15.12
2015-01-11,20.0,17.0,19.0,69.0,206.0,5.0,12.38,0.19,95.0,1023.5,8.0,12.5
2015-01-12,17.0,17.0,32.0,59.0,150.0,6.0,14.75,0.14,40.88,1023.75,8.75,13.88
2015-01-13,21.0,27.0,93.0,77.0,133.0,9.0,15.38,0.0,0.38,1023.12,6.0,9.62
2015-01-14,22.0,35.0,96.0,85.0,162.0,11.0,14.88,0.0,0.0,1022.75,3.75,6.5
2015-01-15,23.0,37.0,104.0,90.0,171.0,10.0,15.25,0.0,0.0,1022.25,7.12,9.75
2015-01-16,28.0,29.0,54.0,100.0,179.0,6.0,16.25,0.0,6.5,1023.25,6.12,10.0
2015-01-17,31.0,36.0,65.0,102.0,191.0,9.0,16.38,0.0,8.5,1023.25,8.75,14.0
2015-01-18,28.0,35.0,66.0,102.0,194.0,16.0,17.5,0.0,20.0,1023.38,4.88,8.0
2015-01-19,18.57,14.81,11.87,42.59,199.0,12.72,17.88,0.0,9.88,1022.0,7.38,11.62
2015-01-20,39.0,57.0,7.83,100.0,99.14,22.0,17.75,0.0,13.62,1019.75,8.62,11.5
2015-01-21,28.0,41.0,55.0,91.0,179.0,13.0,18.75,0.0,17.25,1021.88,6.12,9.25
2015-01-22,30.0,47.0,33.0,108.0,180.0,10.0,19.0,0.0,1.38,1020.25,9.0,13.25
2015-01-23,24.0,34.0,35.0,94.0,183.0,2.0,18.38,0.0,43.75,1016.5,11.0,19.12
2015-01-24,26.0,31.0,19.0,101.0,166.0,3.0,20.25,0.0,30.75,1014.25,14.12,23.88
2015-01-25,26.0,29.0,17.0,97.0,183.0,5.0,20.38,0.02,73.62,1016.12,10.12,16.88
2015-01-26,29.0,34.0,23.0,85.0,181.0,4.0,20.75,0.01,61.5,1016.38,13.5,19.38
2015-01-27,24.0,29.0,23.0,65.0,167.0,3.0,20.25,0.09,81.75,1015.0,13.88,20.25
2015-01-28,25.0,28.0,18.0,69.0,153.0,3.0,20.88,0.0,75.0,1014.12,15.12,25.62
2015-01-29,23.0,22.0,27.0,76.0,154.0,3.0,20.5,0.0,85.0,1016.0,14.12,23.0
2015-01-30,16.0,15.0,34.0,61.0,164.0,2.0,18.0,0.12,97.12,1019.88,11.88,17.62
2015-01-31,13.0,16.0,21.0,38.0,134.0,2.0,13.62,0.02,100.0,1023.62,11.75,15.38
2015-02-01,14.0,18.0,20.0,39.0,101.0,2.0,13.62,0.01,97.88,1024.75,7.88,12.0
2015-02-02,14.0,20.0,20.0,37.0,101.0,2.0,15.38,0.0,76.88,1023.88,6.25,9.0
2015-02-03,13.0,17.0,23.0,33.0,94.0,2.0,17.88,0.0,92.75,1023.12,5.5,7.38
2015-02-04,14.0,15.0,17.0,31.0,84.0,2.0,14.62,0.08,100.0,1023.38,12.25,17.25
2015-02-05,18.0,17.0,19.0,37.0,84.0,2.0,11.88,0.14,96.0,1025.88,12.5,18.62
2015-02-06,20.0,17.0,15.0,29.0,99.0,2.0,13.38,0.0,60.5,1024.25,7.38,12.12
2015-02-07,19.0,16.0,10.0,43.0,81.0,2.0,13.5,0.0,85.38,1020.62,7.5,10.25
2015-02-08,17.0,14.0,12.0,46.0,120.0,2.0,15.25,0.04,56.75,1023.88,8.25,13.12
2015-02-09,15.0,15.0,19.0,47.0,125.0,1.0,14.88,0.0,76.5,1023.25,3.75,6.12
2015-02-10,14.0,14.0,23.0,62.0,127.0,1.0,17.12,0.0,98.38,1019.38,5.75,9.0
2015-02-11,23.0,27.0,14.0,86.0,159.0,1.0,16.25,0.09,98.5,1018.62,9.0,13.12
2015-02-12,16.0,18.0,25.0,62.0,183.0,4.0,17.5,0.0,42.5,1018.25,6.75,10.88
2015-02-13,18.0,27.0,29.0,76.0,154.0,7.0,17.38,0.01,88.75,1015.38,7.62,10.62
2015-02-14,24.0,37.0,18.0,96.0,168.0,8.0,19.12,0.24,96.0,1013.38,7.25,11.38
2015-02-15,21.0,24.0,20.0,107.0,187.0,3.0,21.0,0.06,77.25,1014.5,9.75,15.12
2015-02-16,31.0,26.0,13.0,84.0,209.0,1.0,22.0,0.0,60.12,1016.0,9.88,13.25
2015-02-17,30.0,16.0,14.0,54.0,182.0,1.0,20.62,0.0,63.5,1015.12,8.75,12.5
2015-02-18,19.0,18.0,24.0,56.0,125.0,2.0,21.75,0.0,76.5,1015.25,11.88,16.75
2015-02-19,19.0,28.0,36.0,72.0,128.0,2.0,21.88,0.02,75.62,1015.62,16.38,24.12
2015-02-20,27.0,38.0,17.0,81.0,147.0,4.0,22.5,0.0,71.12,1014.0,16.38,24.62
2015-02-21,26.0,26.0,8.0,68.0,161.0,4.0,23.75,0.0,61.0,1012.0,11.75,17.25
2015-02-22,28.0,21.0,3.0,55.0,160.0,3.0,24.12,0.01,64.38,1013.12,10.38,16.38
2015-02-23,27.0,29.0,9.0,68.0,145.0,2.0,24.5,0.01,48.38,1011.88,10.5,14.75
2015-02-24,25.0,27.0,8.0,57.0,148.0,1.0,24.88,0.01,39.88,1010.25,11.25,18.0
2015-02-25,22.0,27.0,1.0,65.0,133.0,2.0,25.0,0.0,8.5,1009.0,11.88,17.5
2015-02-26,30.0,30.0,3.0,57.0,154.0,2.0,25.0,0.0,36.25,1009.38,14.12,20.75
2015-02-27,25.0,22.0,10.0,47.0,140.0,1.0,26.12,0.0,41.25,1009.62,16.12,22.38
2015-02-28,14.0,17.0,3.0,39.0,121.0,15.8,25.62,0.0,73.5,1012.0,13.5,22.0
2015-03-01,26.0,30.0,5.0,83.0,106.0,2.0,20.12,0.18,92.62,1018.12,11.88,21.25
2015-03-02,30.0,25.0,7.0,68.0,166.0,2.0,20.62,0.0,87.0,1013.0,12.75,20.38
2015-03-03,25.0,21.0,4.0,71.0,158.0,2.0,21.88,0.06,72.0,1009.75,10.62,16.25
2015-03-04,26.0,23.0,6.0,72.0,162.0,2.0,20.88,0.0,90.0,1012.25,9.12,13.12
2015-03-05,36.0,28.0,3.0,55.0,160.0,2.0,22.25,0.08,87.12,1012.12,7.25,10.5
2015-03-06,29.0,18.0,1.0,37.0,139.0,2.0,19.88,0.21,92.0,1014.12,10.12,15.5
2015-03-07,25.0,16.0,1.0,30.0,107.0,2.0,17.75,0.02,93.0,1015.5,8.75,11.25
2015-03-08,15.0,16.0,4.0,39.0,90.0,1.0,21.0,0.05,90.62,1014.62,7.0,11.5
2015-03-09,17.0,17.0,2.0,52.0,97.0,1.0,21.88,0.06,96.12,1017.25,10.38,14.88
2015-03-10,26.0,22.0,2.0,69.0,125.0,2.0,21.12,0.24,80.12,1016.62,10.25,15.12
2015-03-11,29.0,25.0,4.0,56.0,153.0,2.0,18.25,0.16,63.25,1017.88,8.25,14.38
